2	1200	1430	2	1830	2200	3	1200	1430	3	1830	2200	4	1200	1430	4	1830	2200	5	1200	1430	5	1830	2200	6	1200	1430	6	1830	2200	7	1200	1430	7	1830	2200						
2	1800	2300	3	1800	2300	4	1800	2300	5	1800	2300	6	1800	2300	7	1800	2300																								
1	1200	1430	2	1200	1430	3	1200	1430	4	1200	1430	5	1200	1430	6	1030	1430																								
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500																											
2	1200	1400	2	1930	2300	3	1200	1400	3	1930	2300	4	1200	1400	4	1930	2300	5	1200	1400	5	1930	2300	6	1200	1400	6	1930	2300												
1	1200	1500	1	1800	1900	2	1200	1500	2	1800	1900	3	1200	1500	3	1800	1900	4	1200	1500	4	1800	1900	5	1200	1500	5	1800	1900	6	1030	1900	7	1400	1900						
1	1900	2230	2	1900	2230	3	1900	2230	4	1900	2230	5	1900	2230	6	1900	2230	7	1900	2230																					
2	1200	1500	2	1900	2130	3	1200	1500	3	1900	2130	4	1200	1500	4	1900	2130	5	1200	1500	5	1900	2130	6	1200	1500	6	1900	2130												
2	1200	1500	2	1800	2000	3	1200	1500	3	1800	2000	4	1200	1500	4	1800	2000	5	1200	1500	5	1800	2000	6	1100	2000	7	1100	2000												
1	1200	1500	1	1800	2230	2	1200	1500	2	1800	2230	3	1200	1500	3	1800	2230	4	1200	1500	4	1800	2230	5	1200	1500	5	1800	2300	6	1200	2300	7	1200	2230						
1	1900	2300	2	1900	2300	3	1900	2300	4	1900	2300	5	1900	2300	6	1900	2300	7	1900	2300																					
1	1200	1430	1	1900	2230	2	1200	1430	2	1900	2230	3	1200	1430	3	1900	2230	4	1200	1430	4	1900	2230	5	1200	1430	5	1900	2230	6	1200	1430	6	1900	2230	7	1200	1430	7	1900	2230
1	1930	2300	2	1930	2300	3	1930	2300	4	1930	2300	5	1930	2300	6	1930	2300																								
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500																											
2	1200	1430	2	1900	2300	3	1200	1430	3	1900	2300	4	1200	1430	4	1900	2300	5	1200	1430	5	1900	2300	6	1200	1430	6	1900	2300	7	1200	1430	7	1900	2300						
1	1200	1500	2	1200	1500	3	1200	1500	4	1200	1500	5	1200	1500																											
